report,title,statement,item,n,v1,v2,v3,v4,line
2025年报,星宇股份2025年年度报告,CF,投资支付的现金,2,7505589941.40,5372330000.00,,,"投资支付的现金 7,505,589,941.40 5,372,330,000.00"
2025年报,星宇股份2025年年度报告,CF,投资活动现金流出小计,2,8436559340.52,6051471991.71,,,"投资活动现金流出小计 8,436,559,340.52 6,051,471,991.71"
2025年报,星宇股份2025年年度报告,CF,投资活动产生的现金流量净额,2,-1474853185.92,-599545430.81,,,"-1,474,853,185.92 -599,545,430.81"
2025年报,星宇股份2025年年度报告,CF,吸收投资收到的现金,2,38841600.00,38880000.00,,,"吸收投资收到的现金 38,841,600.00 38,880,000.00"
2025年报,星宇股份2025年年度报告,CF,筹资活动现金流入小计,2,38841600.00,38880000.00,,,"筹资活动现金流入小计 38,841,600.00 38,880,000.00"
2025年报,星宇股份2025年年度报告,CF,分配股利、利润或偿付利息支付的现金,2,426462366.00,397275541.60,,,"426,462,366.00 397,275,541.60"
2025年报,星宇股份2025年年度报告,CF,支付其他与筹资活动有关的现金,2,180724277.62,13282832.67,,,"七、78（3） 180,724,277.62 13,282,832.67"
2025年报,星宇股份2025年年度报告,CF,筹资活动现金流出小计,2,607186643.62,410558374.27,,,"筹资活动现金流出小计 607,186,643.62 410,558,374.27"
2025年报,星宇股份2025年年度报告,CF,筹资活动产生的现金流量净额,2,-568345043.62,-371678374.27,,,"-568,345,043.62 -371,678,374.27"
2025年报,星宇股份2025年年度报告,CF,汇率变动对现金及现金等价物的影响,2,25303830.82,-27753540.85,,,"25,303,830.82 -27,753,540.85"
2025年报,星宇股份2025年年度报告,CF,现金及现金等价物净增加额,2,418796067.32,-89760077.81,,,"五、现金及现金等价物净增加额 418,796,067.32 -89,760,077.81"
2025年报,星宇股份2025年年度报告,CF,加：期初现金及现金等价物余额,2,1925079016.90,2014839094.71,,,"1,925,079,016.90 2,014,839,094.71"
2025年报,星宇股份2025年年度报告,CF,期末现金及现金等价物余额,2,2343875084.22,1925079016.90,,,"六、期末现金及现金等价物余额 2,343,875,084.22 1,925,079,016.90"
2024年报,星宇股份2024年年度报告全文,BS,货币资金,2,2023579016.90,2104662099.05,,,"货币资金 七、1 2,023,579,016.90 2,104,662,099.05"
2024年报,星宇股份2024年年度报告全文,BS,交易性金融资产,2,1122398868.30,1156956231.41,,,"交易性金融资产 七、2 1,122,398,868.30 1,156,956,231.41"
2024年报,星宇股份2024年年度报告全文,BS,应收票据,2,1592286968.91,1332193793.53,,,"应收票据 七、3 1,592,286,968.91 1,332,193,793.53"
2024年报,星宇股份2024年年度报告全文,BS,应收账款,2,4516645692.60,3065941900.95,,,"应收账款 七、5 4,516,645,692.60 3,065,941,900.95"
2024年报,星宇股份2024年年度报告全文,BS,预付款项,2,42295109.74,38633261.71,,,"预付款项 七、8 42,295,109.74 38,633,261.71"
2024年报,星宇股份2024年年度报告全文,BS,其他应收款,2,2175738.82,3563115.22,,,"其他应收款 七、9 2,175,738.82 3,563,115.22"
2024年报,星宇股份2024年年度报告全文,BS,存货,2,2629252263.74,2245406476.00,,,"存货 七、10 2,629,252,263.74 2,245,406,476.00"
2024年报,星宇股份2024年年度报告全文,BS,其他流动资产,2,28346547.87,17701359.88,,,"其他流动资产 七、13 28,346,547.87 17,701,359.88"
2024年报,星宇股份2024年年度报告全文,BS,流动资产合计,2,11956980206.88,9965058237.75,,,"流动资产合计 11,956,980,206.88 9,965,058,237.75"
2024年报,星宇股份2024年年度报告全文,BS,其他权益工具投资,2,353555505.86,335844237.89,,,"其他权益工具投资 七、18 353,555,505.86 335,844,237.89"
2024年报,星宇股份2024年年度报告全文,BS,固定资产,2,3540744694.09,3015972961.00,,,"固定资产 七、21 3,540,744,694.09 3,015,972,961.00"
2024年报,星宇股份2024年年度报告全文,BS,在建工程,2,375156095.11,732413573.47,,,"在建工程 七、22 375,156,095.11 732,413,573.47"
2024年报,星宇股份2024年年度报告全文,BS,使用权资产,2,26974479.99,39110036.17,,,"使用权资产 七、25 26,974,479.99 39,110,036.17"
2024年报,星宇股份2024年年度报告全文,BS,无形资产,2,435833583.77,456395050.61,,,"无形资产 七、26 435,833,583.77 456,395,050.61"
2024年报,星宇股份2024年年度报告全文,BS,长期待摊费用,2,117887064.61,131583150.44,,,"长期待摊费用 七、28 117,887,064.61 131,583,150.44"
2024年报,星宇股份2024年年度报告全文,BS,递延所得税资产,2,27667628.21,21433019.61,,,"递延所得税资产 七、29 27,667,628.21 21,433,019.61"
2024年报,星宇股份2024年年度报告全文,BS,其他非流动资产,2,109267233.68,76605990.27,,,"其他非流动资产 七、30 109,267,233.68 76,605,990.27"
2024年报,星宇股份2024年年度报告全文,BS,非流动资产合计,2,4987086285.32,4809358019.46,,,"非流动资产合计 4,987,086,285.32 4,809,358,019.46"
2024年报,星宇股份2024年年度报告全文,BS,资产总计,2,16944066492.20,14774416257.21,,,"资产总计 16,944,066,492.20 14,774,416,257.21"
2024年报,星宇股份2024年年度报告全文,BS,应付票据,2,2448205838.89,1984991637.48,,,"应付票据 七、35 2,448,205,838.89 1,984,991,637.48"
2024年报,星宇股份2024年年度报告全文,BS,应付账款,2,3275497479.42,2542255369.04,,,"应付账款 七、36 3,275,497,479.42 2,542,255,369.04"
2024年报,星宇股份2024年年度报告全文,BS,合同负债,2,3380854.47,7464976.08,,,"合同负债 七、38 3,380,854.47 7,464,976.08"
2024年报,星宇股份2024年年度报告全文,BS,应付职工薪酬,2,169708869.91,177852705.27,,,"应付职工薪酬 七、39 169,708,869.91 177,852,705.27"
2024年报,星宇股份2024年年度报告全文,BS,应交税费,2,103162669.42,105426743.86,,,"应交税费 七、40 103,162,669.42 105,426,743.86"
2024年报,星宇股份2024年年度报告全文,BS,其他应付款,2,9834373.10,10765617.34,,,"其他应付款 9,834,373.10 10,765,617.34"
2024年报,星宇股份2024年年度报告全文,BS,一年内到期的非流动负债,2,16788983.37,12971940.57,,,"一年内到期的非流动负债 七、43 16,788,983.37 12,971,940.57"
2024年报,星宇股份2024年年度报告全文,BS,其他流动负债,2,54251609.21,54052723.52,,,"其他流动负债 七、44 54,251,609.21 54,052,723.52"
2024年报,星宇股份2024年年度报告全文,BS,流动负债合计,2,6080830677.79,4895781713.16,,,"流动负债合计 6,080,830,677.79 4,895,781,713.16"
2024年报,星宇股份2024年年度报告全文,BS,租赁负债,2,10850269.79,24349972.54,,,"租赁负债 七、47 10,850,269.79 24,349,972.54"
2024年报,星宇股份2024年年度报告全文,BS,长期应付款,2,139832370.20,166851195.76,,,"长期应付款 七、48 139,832,370.20 166,851,195.76"
2024年报,星宇股份2024年年度报告全文,BS,预计负债,2,72495310.58,59248628.25,,,"预计负债 七、50 72,495,310.58 59,248,628.25"
2024年报,星宇股份2024年年度报告全文,BS,递延收益,2,419850206.13,467969124.38,,,"递延收益 七、51 419,850,206.13 467,969,124.38"
2024年报,星宇股份2024年年度报告全文,BS,递延所得税负债,2,42944959.47,24013656.36,,,"递延所得税负债 七、29 42,944,959.47 24,013,656.36"
2024年报,星宇股份2024年年度报告全文,BS,非流动负债合计,2,685973116.17,742432577.29,,,"非流动负债合计 685,973,116.17 742,432,577.29"
2024年报,星宇股份2024年年度报告全文,BS,负债合计,2,6766803793.96,5638214290.45,,,"负债合计 6,766,803,793.96 5,638,214,290.45"
2024年报,星宇股份2024年年度报告全文,BS,实收资本（或股本）,2,285679419.00,285679419.00,,,"实收资本（或股本） 七、53 285,679,419.00 285,679,419.00"
2024年报,星宇股份2024年年度报告全文,BS,资本公积,2,4154633303.52,4176293293.63,,,"资本公积 七、55 4,154,633,303.52 4,176,293,293.63"
