report,title,statement,item,n,v1,v2,v3,v4,line
2016年报,2016年年度报告,BS,专项应付款,2,"48,429,709.46","48,244,800.00",,,"专项应付款 七、49 48,429,709.46 48,244,800.00"
2016年报,2016年年度报告,BS,预计负债,2,"4,047,664.05","12,144,461.73",,,"预计负债 七、50 4,047,664.05 12,144,461.73"
2016年报,2016年年度报告,BS,递延所得税负债,2,"422,916.34","264,954.71",,,"递延所得税负债 422,916.34 264,954.71"
2016年报,2016年年度报告,BS,非流动负债合计,2,"55,016,521.58","65,031,480.10",,,"非流动负债合计 55,016,521.58 65,031,480.10"
2016年报,2016年年度报告,BS,负债合计,2,"1,617,052,987.26","1,301,251,332.11",,,"负债合计 1,617,052,987.26 1,301,251,332.11"
2016年报,2016年年度报告,BS,股本,2,"276,155,232.00","239,650,000.00",,,"股本 七、53 276,155,232.00 239,650,000.00"
2016年报,2016年年度报告,BS,资本公积,2,"2,659,380,743.67","1,217,540,709.77",,,"资本公积 七、55 2,659,380,743.67 1,217,540,709.77"
2016年报,2016年年度报告,BS,其他综合收益,2,"-1,655,170.36","-373,150.41",,,"其他综合收益 七、57 -1,655,170.36 -373,150.41"
2016年报,2016年年度报告,BS,盈余公积,2,"179,346,065.82","144,432,400.85",,,"盈余公积 七、59 179,346,065.82 144,432,400.85"
2016年报,2016年年度报告,BS,未分配利润,2,"636,140,916.79","493,698,499.97",,,"未分配利润 七、60 636,140,916.79 493,698,499.97"
2016年报,2016年年度报告,BS,归属于母公司所有者权益合计,2,"3,749,367,787.92","2,094,948,460.18",,,"归属于母公司所有者权益合计 3,749,367,787.92 2,094,948,460.18"
2016年报,2016年年度报告,BS,少数股东权益,2,"4,687,537.20","10,602,776.88",,,"少数股东权益 4,687,537.20 10,602,776.88"
2016年报,2016年年度报告,BS,所有者权益合计,2,"3,754,055,325.12","2,105,551,237.06",,,"所有者权益合计 3,754,055,325.12 2,105,551,237.06"
2016年报,2016年年度报告,BS,负债和所有者权益总计,2,"5,371,108,312.38","3,406,802,569.17",,,"负债和所有者权益总计 5,371,108,312.38 3,406,802,569.17"
2016年报,2016年年度报告,IS,营业总收入,2,"3,346,892,486.92","2,467,518,342.94",,,"一、营业总收入 3,346,892,486.92 2,467,518,342.94"
2016年报,2016年年度报告,IS,其中：营业收入,2,"3,346,892,486.92","2,467,518,342.94",,,"其中：营业收入 七、61 3,346,892,486.92 2,467,518,342.94"
2016年报,2016年年度报告,IS,营业总成本,2,"3,011,190,359.76","2,187,837,610.04",,,"二、营业总成本 3,011,190,359.76 2,187,837,610.04"
2016年报,2016年年度报告,IS,其中：营业成本,2,"2,644,754,954.87","1,888,726,111.83",,,"其中：营业成本 七、61 2,644,754,954.87 1,888,726,111.83"
2016年报,2016年年度报告,IS,税金及附加,2,"19,078,463.97","10,108,145.31",,,"税金及附加 七、62 19,078,463.97 10,108,145.31"
2016年报,2016年年度报告,IS,销售费用,2,"109,678,096.66","99,674,424.59",,,"销售费用 七、63 109,678,096.66 99,674,424.59"
2016年报,2016年年度报告,IS,管理费用,2,"227,780,009.53","189,773,193.52",,,"管理费用 七、64 227,780,009.53 189,773,193.52"
2016年报,2016年年度报告,IS,财务费用,2,"-2,085,756.60","-1,789,999.22",,,"财务费用 七、65 -2,085,756.60 -1,789,999.22"
